ltv,cac,payback_months,net_value,recession_hit
31.489899083725753,42.85183489941934,999.0,-11.361935815693585,0.0
45.73579503843282,66.50788097007484,999.0,-20.772085931642017,1.0
36.14896009410168,72.11532525520724,999.0,-35.96636516110556,1.0
33.877722246545154,57.098012805244025,999.0,-23.22029055869887,0.0
39.12715652219866,25.21642163796325,20.0,13.91073488423541,0.0
91.32127139010427,82.70234689994186,29.0,8.618924490162414,0.0
102.15803663301857,90.95072545792593,28.0,11.207311175092642,0.0
36.2904730688713,54.35627553285462,999.0,-18.065802463983317,0.0
42.67029153754225,111.70178163086186,999.0,-69.0314900933196,1.0
27.925279081820683,39.49658946917991,999.0,-11.571310387359226,0.0
56.14213099209439,69.6657332319768,999.0,-13.523602239882415,0.0
32.665399378305764,57.23800224666614,999.0,-24.572602868360377,0.0
30.109410664564816,102.44547176448114,999.0,-72.33606109991632,1.0
100.22849610638957,58.93616729654523,18.0,41.29232880984434,0.0
21.702728552935273,28.820468335882,999.0,-7.117739782946728,1.0
12.681047758549699,30.48714027535477,999.0,-17.80609251680507,0.0
65.35450821080211,28.870583993262215,14.0,36.483924217539894,0.0
36.28738719881981,76.62474325394507,999.0,-40.33735605512526,0.0
27.27933329176493,79.73201427097177,999.0,-52.452680979206846,1.0
158.56942598558473,39.2387144811034,8.0,119.33071150448133,0.0
56.57535244348022,44.73790732037135,24.0,11.837445123108871,0.0
42.490544853074084,93.08362274525376,999.0,-50.59307789217968,0.0
30.404758185876954,80.1834312246645,999.0,-49.778673038787545,0.0
44.67569317702399,41.85606578910775,29.0,2.819627387916235,1.0
19.68198824099773,95.68443498707336,999.0,-76.00244674607563,0.0
30.47638689020458,63.195258480061156,999.0,-32.718871589856576,0.0
40.752190698559204,76.80292251065886,999.0,-36.050731812099656,0.0
51.52702500282628,48.71432346816067,30.0,2.8127015346656066,0.0
38.102045595593104,63.20767714641622,999.0,-25.10563155082312,0.0
30.557532910824115,31.385568083114094,33.0,-0.8280351722899795,1.0
67.96536188370898,45.52246647538952,21.0,22.44289540831946,0.0
16.247246403640602,33.85943717971949,999.0,-17.61219077607889,0.0
39.96018476614884,56.47263287235699,999.0,-16.512448106208147,0.0
33.3490992922655,50.17157203187035,999.0,-16.822472739604848,1.0
66.772052243737,36.28495684760873,17.0,30.48709539612826,1.0
36.64564375526423,48.82092595314037,999.0,-12.175282197876136,0.0
55.72321120419501,44.5706593079295,25.0,11.152551896265507,0.0
49.60360335774907,84.62365173644773,999.0,-35.020048378698654,0.0
18.87972493852174,31.290013215925562,999.0,-12.410288277403822,0.0
35.874390947418654,62.5656691979511,999.0,-26.69127825053245,0.0
12.699867133276637,51.21111788824672,999.0,-38.51125075497008,1.0
48.535554661471686,69.88489313453091,999.0,-21.349338473059227,0.0
30.377741440469865,14.251246737742502,14.0,16.126494702727364,0.0
74.46307512140861,57.10735284317343,24.0,17.355722278235177,0.0
